"","p.value","HR","Low 95%CI","High 95%CI"
"ABCB1",0.10548555084281,0.827350254178387,0.65770798508186,1.0407482630819
"ABCC2",8.31647331230778e-06,1.15197814125079,1.08248870870154,1.22592838821519
"ABCG2",0.832822300193389,0.980142693660244,0.813594895027763,1.18078383456767
"CYP1A1",0.263146585773916,0.904417244455687,0.758484014622357,1.07842820191284
"CYP1A2",0.227353818561303,0.710059591778461,0.407252138068272,1.23801590402473
"CYP2A6",0.281194497942957,0.913339357073802,0.774518329726188,1.07704201329217
"CYP2B6",0.226439869345499,1.11064046066228,0.936974407385331,1.31649511783605
"CYP2C19",0.922335091165716,1.03843082664412,0.486550528772971,2.2162931041186
"CYP2C8",0.226762243323359,0.850962045799716,0.655028425906192,1.10550378388516
"CYP2C9",0.574150075325255,1.05618712895259,0.872846118274548,1.27803885245007
"CYP2D6",0.0366931024973718,0.84900878834007,0.728149575183549,0.989928370825421
"CYP2E1",0.503664273167981,0.917106697985634,0.711669055680686,1.18184806375436
"CYP3A4",0.787200645030867,1.08674527521798,0.594046979858651,1.98808399546045
"CYP3A5",0.067650391381702,1.09717188729613,0.993291430415248,1.21191637560964
"DPYD",0.502334613951814,0.960217023312451,0.852820015266675,1.08113871081076
"GSTM1",0.713948221257423,1.01311038141846,0.944953485693208,1.0861832465594
"GSTP1",0.171829971524897,1.11837476796152,0.952556994796011,1.31305751618657
"NAT1",0.672218361722588,0.956508359659384,0.778453675602918,1.17528925711563
"NAT2",0.726427671508609,0.952893568077806,0.727202568794631,1.24862891173378
"SLC15A2",0.00408620254530169,0.844498942944494,0.752484476044284,0.947765020194777
"SLC22A1",0.739506551811843,0.932499043774042,0.617647455655549,1.40784918431598
"SLC22A2",0.916615356171476,0.902402705952947,0.131974243104277,6.17037555629528
"SLC22A6",0.169124354565568,0.00278079740192861,6.32523214905139e-07,12.2253760942713
"SLCO1B1",0.0874407075651199,1.19204416207939,0.974539437823201,1.45809315580038
"SLCO1B3",0.00530135082501574,1.14630667574678,1.04139206925413,1.26179086019234
"SULT1A1",0.0141789134058416,0.817525127780435,0.695953617715419,0.960333156606579
"TPMT",0.841978921960942,1.02738936074247,0.78770936783425,1.3399978998205
"UGT1A1",0.0813830419414742,1.28862640234423,0.968883544706332,1.71388812813613
"UGT2B15",0.464439223520934,0.959157249321949,0.85776744709821,1.07253152592711
"UGT2B17",0.408382281153648,0.886073759865622,0.665175976405517,1.18032932001705
"UGT2B7",0.0368752591635333,1.1481907430071,1.00845589947499,1.30728768904375
"ABCA1",0.514721145167351,0.953580299648357,0.826525665215997,1.10016594298958
"ABCA4",0.807587657697486,1.01074437129731,0.927446061176833,1.10152409598126
"ABCB11",0.411827714044612,1.2677156101965,0.719421682745753,2.23388161196671
"ABCB4",0.626482478721506,0.942669928998997,0.743192484190158,1.19568834984559
"ABCB5",0.729980885583478,0.855067021128779,0.351445724394443,2.08037702516321
"ABCB6",0.136978351992803,1.12439944069736,0.963407710686327,1.31229394182436
"ABCB7",0.854103598087713,1.02571978253325,0.782487690304276,1.34455926312519
"ABCB8",0.319295106760433,1.15041131288942,0.873158430402022,1.51569994945203
"ABCC1",0.0222918872611952,1.23166905010969,1.03011260834039,1.47266292705819
"ABCC10",0.675016872970202,0.951193099977273,0.75280389401517,1.20186455016682
"ABCC11",0.900266784222952,0.980198928030405,0.716929096630428,1.34014638689889
"ABCC12",0.0132853666815399,0.275823328987453,0.0995056527677106,0.764564692533813
"ABCC3",0.679176744884082,1.02247951935522,0.920241767698184,1.13607576204231
"ABCC4",0.0720950523328055,0.881091913497469,0.767550888669166,1.01142865116953
"ABCC5",0.659001486870801,0.960602745858956,0.803551304477974,1.14834937135873
"ABCC6",0.00960235067032448,0.832288584973749,0.724332274257356,0.956334976772672
"ABCC8",0.0234479620617616,0.701298680901332,0.515965890744716,0.953202234209868
"ABCC9",0.695181102425016,0.969877548553535,0.832289599342453,1.13021051798723
"ABCG1",0.749405889792845,0.97569407055266,0.838962997635469,1.1347090658285
"ADH1A",0.321719338271426,0.727007484337133,0.386969184122319,1.36584488886623
"ADH1B",0.00766001639837998,0.904112291160422,0.83955045894475,0.973638959181537
"ADH1C",0.0485510815941025,0.93094769909923,0.867058220842786,0.999544895169493
"ADH4",0.00343014058508098,1.2496795947062,1.07637949593507,1.45088149237586
"ADH5",0.501443794062383,1.09146114131075,0.845646936098279,1.4087290713638
"ADH6",0.115033728440906,1.1280163456458,0.971075233952559,1.31032162241949
"ADH7",0.0930985040729608,0.860259641835069,0.721659757701555,1.02547861852129
"ADHFE1",0.00370741575013975,0.794203998461373,0.679749234524871,0.927930417770783
"AHR",0.842623878968183,1.01383527275064,0.885232714164711,1.16112062266389
"ALDH1A1",0.444526896386404,0.964251544684572,0.878339848145657,1.05856638906857
"ALDH1A2",0.268418494874356,0.938497154913306,0.838710929175725,1.05015551740334
"ALDH1A3",0.477320987384301,1.04390278674639,0.927242930872352,1.17524004971561
"ALDH1B1",0.227290091260016,1.11096300159156,0.936513091672261,1.31790874241965
"ALDH2",0.0084601066561828,0.820562660008756,0.708241099102082,0.950697551800219
"ALDH3A1",0.468647990568999,1.02059993790419,0.965839446405404,1.0784652015681
"ALDH3A2",0.159006889226144,0.90656316727418,0.790884383757228,1.03916171963571
"ALDH3B1",0.774632840478236,1.01715313028779,0.905366074827399,1.14274271945908
"ALDH3B2",0.2671270692372,1.05257725260248,0.961499064150269,1.15228284041577
"ALDH4A1",0.183365586531871,0.87773183496087,0.724312062309842,1.06364813482039
"ALDH5A1",0.303959519307591,0.916924728053322,0.77717426765865,1.08180493346562
"ALDH6A1",0.114024162726555,0.87212400742258,0.736009428841579,1.03341106039897
"ALDH7A1",0.469014835833738,1.08373075220814,0.871756852975693,1.34724761758123
"ALDH8A1",0.657810090148038,0.926250665721077,0.659941244975351,1.30002527085693
"ALDH9A1",0.62894928089608,1.06294021285737,0.82982141861052,1.36154824492373
"AOX1",0.825062801785219,1.01453314972615,0.892694623586794,1.15300068432997
"ARNT",0.744508913103819,0.959709896000025,0.74942093199311,1.22900635031748
"ARSA",0.335905563607438,0.921029289186245,0.778944281905275,1.08903161785078
"ATP7A",0.776808505319245,0.970119002469653,0.786564042762282,1.19650890173878
"ATP7B",0.983549523977532,0.998608778883638,0.874827994517412,1.13990350047448
"CAT",0.0118264200050122,0.803246909313653,0.677273724369658,0.95265115728863
"CBR1",0.58677307540657,0.971969183457772,0.877256399896664,1.07690761070863
"CBR3",0.93059718541342,1.00489385929893,0.900341149102284,1.12158782197566
"CDA",0.0110712783586152,1.09525581199824,1.02100787676926,1.17490307470667
"CES1",0.409327109516206,0.97079487213329,0.904792386993978,1.04161208395155
"CES2",0.56365784152356,0.935148790744134,0.744799251379871,1.17414626721233
"CFTR",0.000745502937545156,0.838670255215075,0.757151007204377,0.928966336027945
"CHST1",0.347357536274648,1.06073677581437,0.937990585791474,1.19954562935794
"CHST10",0.959031862957855,0.995667561157415,0.843660604186463,1.17506244504224
"CHST11",0.0238288730325342,1.20226246174149,1.02474752829584,1.41052794664114
"CHST12",0.993049282466519,0.998786169644806,0.759971971233414,1.31264553224865
"CHST13",0.857211168952207,0.980585396052042,0.792016732378994,1.21404975380043
"CHST2",0.29376958062436,1.06988736674593,0.943124114548599,1.21368859078575
"CHST3",0.409504443852711,1.04978686340061,0.935312319184467,1.17827215141292
"CHST4",0.113032337701993,1.10253266059591,0.977151335612112,1.24400205308959
"CHST5",0.512297070096419,1.23746995897626,0.654265715379582,2.34053514248457
"CHST6",0.536189952214847,1.03512858153894,0.927866271047532,1.15479052720512
"CHST7",0.432739671557576,0.91340511063515,0.728430350314036,1.14535163969311
"CHST8",0.803203068788085,0.967354240616761,0.745104583736313,1.25589648388258
"CHST9",0.11873796377901,0.891844746298022,0.772390695546325,1.02977295827831
"CYB5R3",0.528857120463528,1.06889189051739,0.868727798458494,1.3151759108448
"CYP11A1",0.955355741765511,0.995635107369595,0.854255370697423,1.16041326871327
"CYP11B1",0.417233145544236,0.363416234360875,0.0315010262579096,4.19260497469908
"CYP11B2",0.317043424640297,0.00150806959063621,4.48002191450386e-09,507.64793869396
"CYP17A1",0.000194134570344168,0.41635517725494,0.262616167327274,0.66009505580424
"CYP19A1",0.748996386689607,1.06599003549882,0.720690160736568,1.57673133017579
"CYP1B1",0.329177839092946,0.944770583498707,0.842880757303663,1.05897714203353
"CYP20A1",0.0366883393508816,0.694342944648302,0.493116159883522,0.977684699882384
"CYP21A2",0.962376423625822,1.00573455458182,0.793049373453674,1.27545904219667
"CYP24A1",0.0232586954259267,1.07131904932069,1.00943120167198,1.13700121765242
"CYP26A1",0.987365519902879,0.998629749984076,0.842752250628534,1.18333872951332
"CYP26C1",0.853743229593008,0.923169957336179,0.394596968657343,2.15978032732468
"CYP27A1",0.0106189705627881,0.847783810868264,0.746916133122967,0.962273216626301
"CYP27B1",0.979323091484721,0.997970428904561,0.855841691189021,1.16370233796894
"CYP2A13",0.0394823538238599,0.720751598417384,0.527739701999977,0.984354341074829
"CYP2A7",0.838392304049991,0.963209952969316,0.671860806555297,1.3809012290149
"CYP2C18",0.0718010612860312,1.10101257223538,0.991506366316873,1.222613112131
"CYP2F1",0.0322759088841607,0.825978712526183,0.693358317997174,0.983965744461135
"CYP2J2",0.202821716939602,1.10770773620394,0.946359261111269,1.29656514102817
"CYP2R1",0.18048860613613,0.834091177683354,0.639604306232887,1.08771639888849
"CYP2S1",0.480046864753834,0.964852410557377,0.873646632238473,1.06557976624154
"CYP39A1",0.73888615727143,0.976600394348841,0.849674364207921,1.1224868848802
"CYP3A43",0.637954505128328,0.695048071437506,0.152749640451593,3.16263802769533
"CYP3A7",0.836287184314424,0.959369229530272,0.647331060112752,1.42182165399138
"CYP46A1",0.285472398413501,0.769690076841232,0.476109439232455,1.24429966215944
"CYP4A11",0.462438169802101,0.761164868160287,0.367585316308093,1.57615642088343
"CYP4B1",4.87173284202607e-05,0.881673808720078,0.829691022611842,0.936913482004298
"CYP4F11",0.380715738855959,1.03463609612375,0.95879021221324,1.11648183071369
"CYP4F12",0.996761914100251,1.00034844839888,0.845434934118068,1.18364758520174
"CYP4F2",0.378573689409942,1.2348778958654,0.772108462064432,1.9750119220552
"CYP4F3",0.0211411851340497,1.09666791379793,1.01392436853894,1.1861639294526
"CYP4F8",0.794481811105928,1.09598531961145,0.549938590092542,2.18421446038489
"CYP4Z1",0.0205493118159385,0.754478677169396,0.59444334080193,0.957598538382741
"CYP51A1",0.268300425662352,1.11571093627224,0.919092876195899,1.35439075370677
"CYP7A1",0.419673715386494,0.358957636315119,0.0298097338011194,4.32243325380176
"CYP7B1",0.374264075772321,0.935713166260028,0.808140438586907,1.0834244738988
"CYP8B1",0.876010884013926,1.02337434926791,0.76556964830185,1.36799448758526
"DDO",0.162945790331498,0.896545498194747,0.769038237927721,1.04519358166013
"DHRS1",0.0304441918548098,0.757276626207929,0.588717637810081,0.974096666670387
"DHRS12",0.215735117988944,0.835186949207334,0.627984446865027,1.1107555985
"DHRS13",0.834258518450695,1.02363459301688,0.822465939283296,1.27400750593261
"DHRS2",0.741928696000679,0.980466200257319,0.871847331538832,1.1026173219459
"DHRS3",0.169398075590925,0.898288852078707,0.770854364212262,1.0467902878042
"DHRS4",0.646505793819387,1.06214236048611,0.820896365754964,1.37428601343785
"DHRS4L2",0.785268745466847,1.0359220928516,0.803655889199534,1.33531601880864
"DHRS7",0.0262918643915132,1.25310522165599,1.02695295444802,1.52906001169792
"DHRS7B",0.866470910851714,0.9797832343131,0.772211956306379,1.24314986112461
"DHRS7C",0.109455315933217,4.4364208701681,0.715734830779288,27.4987736950479
"DHRS9",0.769366300105561,1.01521166034171,0.917757775762251,1.12301387415404
"DHRSX",0.014918637564414,1.27608014479996,1.0486548167481,1.55282797536974
"DPEP1",0.907013608375984,1.0078381795866,0.884085697793277,1.14891327703611
"EPHX1",0.00112158497260484,0.827377692367762,0.738239471321282,0.927278847069239
"EPHX2",0.0286327409776634,0.842311641929422,0.722317882439609,0.982239148965216
"FMO1",0.680088302974342,1.03446162885989,0.880589211768732,1.21522140775952
"FMO2",0.00797705235032853,0.855827411759346,0.762843942412013,0.960144687526545
"FMO3",0.0021368167825019,0.799600189781044,0.693226522692924,0.922296597963689
"FMO4",0.0157978320751237,0.793369393352082,0.657419950843441,0.957432145921816
"FMO5",0.131140140747393,0.931508816214088,0.849536306434953,1.02139092598158
"GPX2",0.059703737724131,1.04280187056583,0.998287852194792,1.0893007852042
"GPX3",0.0185023960010142,0.860906106679441,0.760031673083687,0.975168997248281
"GPX4",0.818981668170003,0.976599840814658,0.797347746555354,1.19614967647369
"GPX5",0.289917649037611,1.82916480335599,0.597810476877743,5.59683044584817
"GPX6",0.474260842673315,1.49027878668253,0.499665373881241,4.44483644080531
"GPX7",0.997526730142984,1.00022436003249,0.867950806314311,1.15265607581003
"GSR",0.185633147768041,1.10048682417771,0.955008228699446,1.26812650801764
"GSS",0.00871100771515845,1.4056346692466,1.08990079330527,1.81283364093726
"GSTA1",0.0410824896552659,0.938866166175272,0.883724657255256,0.997448323696651
"GSTA2",0.0805473178967513,0.927306344002033,0.852043585176951,1.00921721680216
"GSTA3",0.00673768894001173,0.72753139357725,0.577991175285511,0.91576126292758
"GSTA4",0.523847492770174,0.956358447411097,0.833744552753613,1.09700444448343
"GSTA5",0.182096208854873,0.688122965097855,0.397390528865867,1.19155636760254
"GSTCD",0.169539608240109,1.16798996346541,0.935874128868612,1.45767524998808
"GSTK1",0.231412501059422,1.15210048615134,0.913657399069476,1.45277160951359
"GSTM2",2.45627492291775e-05,0.667658284910861,0.553408118543307,0.805495204124348
"GSTM3",0.933520743147993,0.99441197359839,0.871735183703254,1.13435271596478
"GSTM4",0.113563466105887,0.824077177430801,0.648461265680412,1.04725329067998
"GSTM5",0.0108911114249101,0.733372993665641,0.577638688254163,0.931094053730443
"GSTO1",0.166160647040833,1.15603879522192,0.941532019123943,1.41941608879286
"GSTO2",0.200126351746556,1.09923754492189,0.951107906937388,1.27043753011871
"GSTT2B",0.231708009396479,0.927367556824616,0.81956633441692,1.04934835575294
"GSTZ1",0.100182805761044,1.18375816421265,0.968094441470506,1.44746558942287
"HAGH",0.0519019910427086,0.78690132369551,0.617992108506566,1.00197669955711
"HNF4A",0.00407026055610453,1.1624761112583,1.04899582851966,1.28823268168113
"HNMT",0.0595120778985202,0.862282358105899,0.739125608917051,1.00596009139783
"HSD11B1",0.696220932137194,0.974275095096305,0.854796282288452,1.11045401178359
"HSD17B11",0.239715522592122,0.908260501226604,0.773650015477642,1.06629240817516
"HSD17B14",0.0830065432469726,0.896463948877563,0.792254310788789,1.01438086318145
"IAPP",0.0117110755115658,1.7802039776163,1.13689447778557,2.7875288901866
"KCNJ11",0.0290612458568804,0.868795123851103,0.765714472206387,0.985752515624397
"MAT1A",0.902370200373226,1.0075660772815,0.893242810547015,1.13652121024823
"METAP1",0.0518036058690086,1.32879736760156,0.997780356058112,1.76963039352722
"MGST1",0.312387579434373,1.07419100205551,0.934930760177206,1.23419440031934
"MGST2",0.548018983610818,1.08410052198699,0.833010681536963,1.41087499574914
"MGST3",0.0135933739559215,1.40176064927093,1.07197541240126,1.83300185350608
"MPO",0.906271696475287,0.98151903365798,0.719520831741712,1.33891830636909
"NNMT",0.471295111336413,1.04335087435259,0.929577731383694,1.17104897230265
"NOS1",0.0616857490997765,1.17576259174801,0.992109727319086,1.39341207336976
"NOS3",0.131766272348836,0.903684621516564,0.792173313226485,1.03089296436833
"NR1I2",0.423762496054221,1.08343576835648,0.890281728383821,1.31849618691504
"NR1I3",0.99744742486772,0.999271640987778,0.639469277567376,1.5615196030699
"PDE3A",0.418569312442889,1.04388054923247,0.940719716320536,1.15835416454116
"PDE3B",0.218947775336576,0.906459686683167,0.775082175659781,1.06010586926774
"PLGLB1",0.28270310674475,0.500657359557804,0.141697590057419,1.76896298361758
"PNMT",0.37646206209914,0.929585365364721,0.790708153163167,1.09285448498714
"PON1",0.790342001669216,0.980953662760498,0.851297411386261,1.13035711798567
"PON2",0.2745225571885,1.0877582060321,0.935416589732515,1.26491012429929
"PON3",0.283353276507516,0.948610874052281,0.861449063650655,1.04459175630976
"POR",0.629201914303252,0.95134594754546,0.776982103388548,1.16483907153595
"PPARA",0.305505141380768,0.879232643583004,0.687369027264492,1.12465067653462
"PPARD",0.0374178585248165,1.25344466088466,1.01324348511823,1.55058832450024
"PPARG",0.040191799809406,1.13140930397979,1.00553979029575,1.27303466803191
"RXRA",0.815986578435324,0.974007349937589,0.780242195441576,1.21589209514045
"SERPINA7",0.869114715334508,0.948577510682591,0.506258434574769,1.77735170877413
"SLC10A1",0.393409795813909,0.798445530929472,0.476156565933032,1.33887740183112
"SLC10A2",0.356316297216961,1.07936242589348,0.917682017178141,1.26952825120522
"SLC13A1",0.229191895183304,0.0526463746109275,0.000433729057316544,6.39025841805962
"SLC13A2",0.6882704828885,0.979574004883952,0.885629966724954,1.08348324593492
"SLC13A3",0.27137348060332,0.92092711593533,0.795200876263512,1.06653146164784
"SLC15A1",0.00564380773584978,1.16016249249641,1.0443134616667,1.28886302666953
"SLC16A1",6.35488952851319e-05,1.21572246845433,1.10473554231012,1.33785966296883
"SLC19A1",0.586483998326084,1.06292811801541,0.853105662341806,1.32435668164057
"SLC22A10",0.0051589527187388,0.0394122606746208,0.00408803816938048,0.379968637063793
"SLC22A11",0.907722741038421,0.974993709459596,0.635377456440411,1.49613859265864
"SLC22A12",0.0834761664884675,0.0104125266714527,5.92531862732952e-05,1.82978702923486
"SLC22A13",0.357713025884288,0.51900869474877,0.128294149219609,2.09962829063799
"SLC22A14",0.927041389088539,0.96757483089355,0.477826051824757,1.95929261245478
"SLC22A15",0.0984045225208369,0.859668149075116,0.718538076417103,1.02851797391073
"SLC22A16",0.758604100659825,1.06283182693907,0.720578236350423,1.56764586462656
"SLC22A17",0.0763553411309011,0.889659092759524,0.781751374977003,1.01246166833155
"SLC22A18",0.744393578769643,1.02628249074708,0.878085597635092,1.19949097633615
"SLC22A18AS",0.698041862560016,0.974926292566264,0.857547617785473,1.10837142594078
"SLC22A3",0.180939562799594,0.946648630418639,0.873585941481975,1.02582194483721
"SLC22A4",0.374280341339709,0.929040088752925,0.789804528818837,1.09282164765609
"SLC22A5",0.319650999668621,1.15314051335726,0.870978191138672,1.52671221515596
"SLC22A7",0.170851070894071,2.65909675479539,0.655938614126456,10.7796604729238
"SLC22A8",0.0780625268359089,0.000297384381461234,3.55219053222153e-08,2.48966009944777
"SLC22A9",0.954650223370492,1.034102682165,0.325556353015252,3.28474117416699
"SLC27A1",0.0293288116684668,0.805618772063701,0.663279578376036,0.978503827134977
"SLC28A1",0.906844962009989,0.974094902286531,0.627599777877002,1.51188848707108
"SLC28A2",0.913054971847761,1.0051697882404,0.916305235809072,1.10265254819714
"SLC28A3",0.60987599772218,0.966974211551429,0.849945079807602,1.10011711111637
"SLC29A1",0.155194449405986,0.881760124625851,0.741302517196737,1.04883080705074
"SLC29A2",0.967460492050046,1.00330551239224,0.85619725214303,1.17568930369388
"SLC2A4",0.105645344366507,0.743188564324916,0.518755322434451,1.06472014504125
"SLC2A5",0.548243833985809,1.04359339400381,0.907896802322572,1.19957154736342
"SLC5A6",0.0317002553841152,1.26028666079356,1.02047493970653,1.55645416224621
"SLC6A6",0.674259307750769,1.04390116262985,0.854373964799727,1.27547149402592
"SLC7A5",0.00371001702005783,1.18152946451163,1.05563464733693,1.32243847720505
"SLC7A7",0.985072526057797,0.998588331443941,0.861227077595067,1.15785799313297
"SLC7A8",0.0198251108028364,0.86889369185935,0.772001815778007,0.977946207279477
"SLCO1A2",0.411025784789801,1.09119267673795,0.886216244309536,1.34357891249695
"SLCO1C1",0.8106387759124,0.946636471089024,0.60444969673939,1.48253959465918
"SLCO2A1",0.371750908124497,0.947709714612078,0.842351838341242,1.0662453173234
"SLCO2B1",0.137039053891067,0.916516890896742,0.817026309688719,1.0281225969566
"SLCO3A1",0.508760999232107,0.948424383727951,0.810565996056851,1.10972927068934
"SLCO4A1",0.00124621309488502,1.19645795489155,1.07300378657896,1.33411611005339
"SLCO4C1",0.0212663395557751,0.884649890369589,0.7970319299905,0.981899719551077
"SLCO5A1",0.422296574376612,1.07662433419826,0.898974875832181,1.28937970142363
"SLCO6A1",0.428238120743359,0.864255542484478,0.6024098100514,1.2399161339212
"SOD1",0.00652631375201335,1.38941903442057,1.09626305849802,1.76096899210956
"SOD2",0.0541624196763914,1.17841466086006,0.997068937335506,1.39274333090838
"SOD3",0.0450713356581188,0.893255360251147,0.799886268830128,0.99752323512739
"SULF1",0.0784506243312888,1.09018357422966,0.990224013028274,1.20023369448043
"SULT1A2",0.0558410240305071,0.878200604186042,0.768742269974767,1.00324430087348
"SULT1A3",0.848544397293113,1.1121251468757,0.373666464111558,3.30996345966985
"SULT1B1",0.16418571988446,1.12987302596501,0.951297150414244,1.34197085973338
"SULT1C2",0.0841528523712622,0.908538328655272,0.814834615961967,1.01301770747825
"SULT1E1",0.805554098911439,1.02362562900421,0.849958168554583,1.2327776437941
"SULT2A1",0.692023082770384,1.14355264077976,0.588848729478533,2.22079555710759
"SULT2B1",0.00317690131927654,1.17853621143771,1.05668218173123,1.31444215269566
"SULT4A1",0.217631959108992,0.913268647551575,0.7906035494153,1.05496569452227
"TAP1",0.0209704408271819,1.17227960638761,1.02428946269588,1.34165148193105
"TAP2",0.00509331348166521,1.28188977933287,1.0774211295437,1.52516166733616
"UGT1A10",0.721632245291594,1.02762366488947,0.884569883135839,1.19381228863147
"UGT1A3",0.299411071576886,1.48466968394618,0.703820233823878,3.13182822047204
"UGT1A4",0.407457854583809,0.491168335870705,0.091342135734845,2.64112867759416
"UGT1A5",0.521846775680272,0.496820597413686,0.0584192589514548,4.22515982648125
"UGT1A6",0.625302096887188,1.02043055321099,0.94087421086548,1.10671384325503
"UGT1A7",0.696901670943103,1.0677542283598,0.767725608366387,1.48503460058627
"UGT1A8",0.227378832096374,1.16142254907598,0.91089678682803,1.48085091198902
"UGT1A9",0.241452121458347,0.271433082376986,0.0306231490084997,2.40588968130686
"UGT2A1",0.803361048935641,1.07964156354241,0.590641797649864,1.97349038006837
"UGT2B10",0.0456570828047924,2.07692057142892,1.01421119888663,4.2531566056064
"UGT2B11",0.0033484981543188,1.2229137650853,1.06907876969057,1.39888483359178
"UGT2B28",0.00104541201185523,1.56877327516899,1.19848417121847,2.0534685797163
"UGT2B4",0.589520350933408,0.964158760366951,0.84443210076893,1.10086070193903
"UGT8",0.736314489121556,1.01680662108264,0.92280059688481,1.12038907231716
"XDH",0.405320468195579,1.04450472677497,0.942694685512564,1.15731014613927
